payment_id,order_id,payment_date,amount,payment_method
69,4853,7/26/2025,608.23,Mobile Money
70,5033,10/24/2025,2976.65,Mobile Money
71,2343,8/3/2025,3290.29,Mobile Money
72,9565,6/11/2025,4674.18,Debit Card
73,6147,5/3/2025,1335.42,Debit Card
74,5915,8/23/2025,1587.72,Credit Card
75,1152,8/23/2025,3109.58,Mobile Money
76,2638,2/7/2025,2692.8,Mobile Money
77,5345,3/9/2025,4666.96,Credit Card
78,5002,7/9/2025,1432.09,Bank Transfer
79,9900,12/27/2025,1519.56,Mobile Money
80,1128,12/8/2025,4087.35,PayPal
81,2697,3/10/2025,1329.68,Credit Card
82,3546,5/20/2025,1415.96,Debit Card
83,6617,4/15/2025,3440.61,PayPal
84,9280,9/8/2025,1263.1,Credit Card
85,2512,11/21/2025,2123.64,PayPal
86,1722,1/2/2025,1674.45,Debit Card
87,5291,3/24/2025,3708.74,Mobile Money
88,8007,10/15/2025,58.25,Credit Card
89,3442,10/7/2025,189.78,PayPal
90,3426,8/9/2025,645.95,PayPal
91,6974,1/21/2025,4495.63,Debit Card
92,5088,12/8/2025,522.94,Mobile Money
93,7658,11/14/2025,3749.89,Debit Card
94,3662,4/1/2025,4408.27,Credit Card
95,3938,6/20/2025,3914.11,Bank Transfer
96,5065,5/17/2025,804.4,Credit Card
97,7267,1/20/2025,4294.38,Debit Card
98,4269,8/24/2025,1754.8,Debit Card
99,4652,1/13/2025,3303.57,Bank Transfer
100,6378,5/23/2025,4323.12,PayPal
101,6753,11/25/2025,2551.93,Mobile Money
102,6425,1/15/2025,585.56,PayPal
103,3925,10/25/2025,4813.05,PayPal
104,1626,2/25/2025,2986.89,PayPal
105,6139,8/12/2025,3034.98,Mobile Money
106,2894,7/17/2025,4498.53,Debit Card
107,5173,1/23/2025,3546.84,Credit Card
108,9518,10/3/2025,3437.42,Debit Card
109,6967,8/9/2025,359.17,PayPal
110,6143,12/6/2025,4241.6,PayPal
111,9308,6/8/2025,3337.8,PayPal
112,7592,12/23/2025,1485.32,Debit Card
113,4143,8/4/2025,3328,Bank Transfer
114,3851,11/12/2025,2849.84,Bank Transfer
115,9977,1/1/2025,1526.34,Debit Card
116,8043,10/24/2025,3037.24,PayPal
117,8618,8/15/2025,2216.38,Debit Card
118,9375,8/31/2025,3970.74,Debit Card
119,2389,5/26/2025,2582.11,Mobile Money
120,6491,2/17/2025,4093.93,Debit Card
121,6085,4/26/2025,4034.75,Debit Card
122,1400,1/24/2025,1231.76,Bank Transfer
123,2193,8/22/2025,2078.06,Mobile Money
124,4185,12/23/2025,1926.05,Bank Transfer
125,4997,3/17/2025,3283.73,Credit Card
126,2746,8/6/2025,1102.02,Mobile Money
127,8611,1/26/2025,2791.45,Credit Card
128,8478,3/10/2025,4009.07,Mobile Money
129,6198,8/15/2025,3067.14,Mobile Money
130,7991,10/8/2025,2235.11,Debit Card
131,8777,8/19/2025,1303.37,Debit Card
132,5543,9/24/2025,2428.14,Debit Card
133,5499,8/14/2025,396.64,PayPal
134,4841,5/20/2025,1685.88,Mobile Money
135,2320,3/12/2025,762.64,Bank Transfer
136,3503,12/28/2025,1077.62,Bank Transfer
137,7678,6/19/2025,2717.63,Bank Transfer
138,2020,4/16/2025,4166.13,Bank Transfer
139,1320,10/22/2025,1908.1,Credit Card
140,6763,6/2/2025,3769.84,Bank Transfer
141,9818,10/7/2025,4001.34,Debit Card
142,8999,4/23/2025,1371.95,Bank Transfer
143,1475,7/19/2025,1687.29,Bank Transfer
144,3704,8/28/2025,4598.51,Mobile Money
145,9751,1/14/2025,4535.58,Mobile Money
146,1444,2/12/2025,3217.32,Debit Card
147,8564,4/4/2025,260.92,Bank Transfer
148,6363,4/19/2025,2278.95,PayPal
149,7211,5/23/2025,3762.53,Bank Transfer
150,5133,2/11/2025,2356.83,Mobile Money
151,1853,6/29/2025,1128.87,Credit Card
152,1659,1/16/2025,4748.56,Debit Card
153,1333,11/15/2025,770.39,Debit Card
154,8758,12/9/2025,580.8,Debit Card
155,8619,12/25/2025,1288.66,PayPal
156,3749,11/7/2025,3040.16,Credit Card
157,3683,6/9/2025,549.41,Credit Card
158,6111,10/22/2025,3389.96,Bank Transfer
159,7498,4/12/2025,389.22,Debit Card
160,2669,12/23/2025,3864.68,Mobile Money
161,2983,10/17/2025,3915.35,PayPal
162,9728,8/8/2025,3310.99,Credit Card
163,9289,11/28/2025,1712.74,Bank Transfer
164,9031,2/24/2025,2173.28,PayPal
165,8532,12/29/2025,773.43,Debit Card
166,9548,11/30/2025,1357.71,Mobile Money
167,8921,8/27/2025,2183.52,Mobile Money
168,5397,6/15/2025,4260.05,Credit Card
169,5569,8/19/2025,1226.88,Bank Transfer
170,7209,6/22/2025,153.21,PayPal
171,3979,9/7/2025,1068.48,PayPal
172,6576,5/24/2025,4402.8,PayPal
173,1166,9/22/2025,4740.83,Credit Card
174,4954,7/28/2025,2448,Debit Card
175,8800,11/27/2025,3562.09,Bank Transfer
176,1282,2/17/2025,1478.24,Bank Transfer
177,4986,6/6/2025,3323.16,PayPal
178,8753,10/11/2025,2659.3,Bank Transfer
179,6419,6/30/2025,3517.25,PayPal
180,6023,5/9/2025,1160.38,Debit Card
181,6169,3/3/2025,3716.98,Debit Card
182,4138,4/21/2025,3695.64,PayPal
183,9595,11/2/2025,1422.16,Credit Card
184,4180,6/1/2025,1145.14,Debit Card
185,5952,1/8/2025,3543.01,Debit Card
186,5494,1/24/2025,4871.73,Mobile Money
187,5786,12/24/2025,4721.01,Bank Transfer
188,2680,1/7/2025,2874.58,Bank Transfer
189,8843,8/14/2025,1710.12,Credit Card
190,5136,9/2/2025,579.29,Credit Card
191,7565,9/9/2025,379.67,Credit Card
192,3485,3/18/2025,4057.6,PayPal
193,2395,5/8/2025,601.07,Bank Transfer
194,4697,9/25/2025,1908.09,Bank Transfer
195,5871,10/29/2025,4950.26,PayPal
196,1986,11/9/2025,4800.94,Credit Card
197,4404,11/17/2025,1063.02,Credit Card
198,3573,5/3/2025,877.33,Credit Card
199,3564,1/2/2025,2048.5,Mobile Money
200,8699,5/30/2025,172.87,PayPal
201,5632,12/26/2025,4299.44,Credit Card
202,4824,5/16/2025,3941.26,Mobile Money
203,4241,8/6/2025,582.73,Debit Card
204,3441,5/17/2025,4134.89,Credit Card
205,1977,3/26/2025,3965.22,Mobile Money
206,5728,8/13/2025,630.52,PayPal
207,7594,5/20/2025,2507.36,Bank Transfer
208,8172,2/11/2025,2994.2,Bank Transfer
209,6280,11/6/2025,1259.34,Credit Card
210,4750,12/12/2025,4181.43,Mobile Money
211,1339,12/11/2025,4108.89,Mobile Money
212,1659,3/31/2025,2357.8,Bank Transfer
213,5557,4/3/2025,4984.76,Bank Transfer
214,9056,2/16/2025,2355.35,Bank Transfer
215,6460,6/14/2025,3353.97,Debit Card
216,6403,7/30/2025,3471.43,PayPal
217,7561,10/9/2025,193.12,Credit Card
218,6153,5/10/2025,1623.14,Bank Transfer
219,9431,1/1/2025,3291.73,Mobile Money
220,8569,7/31/2025,280.48,Mobile Money
221,6927,11/15/2025,3784.65,Bank Transfer
222,1845,4/15/2025,1342.61,Debit Card
223,5719,8/13/2025,4405.42,Bank Transfer
224,2989,1/15/2025,4866,Mobile Money
225,4920,12/30/2025,800.31,Mobile Money
226,1224,10/10/2025,2045.87,Debit Card
227,2858,8/25/2025,4735.83,Debit Card
228,9165,5/30/2025,2549.27,PayPal
229,7807,9/5/2025,4901.42,Debit Card
230,8483,10/10/2025,731.76,Debit Card
231,9327,3/11/2025,4321.49,PayPal
232,7798,6/24/2025,4671.9,Mobile Money
233,5377,1/2/2025,1421.37,PayPal
234,9022,3/18/2025,2238.27,Bank Transfer
235,6654,6/20/2025,2764.07,Mobile Money
236,7180,8/22/2025,4664.93,Debit Card
237,4912,10/20/2025,1921.02,Bank Transfer
238,1715,6/12/2025,3726.08,Bank Transfer
239,7325,12/6/2025,3964.04,Debit Card
240,9115,1/19/2025,639.97,Mobile Money
241,6439,2/21/2025,4372.21,Bank Transfer
242,2633,9/27/2025,4553.1,Credit Card
243,3361,7/29/2025,4355.96,Debit Card
244,2225,8/29/2025,3909.81,PayPal
245,6546,11/16/2025,3466.6,Credit Card
246,6383,12/12/2025,4298.12,Bank Transfer
247,6188,11/17/2025,3596.4,Bank Transfer
248,9864,1/19/2025,3091.12,Debit Card
249,5708,4/27/2025,3736.36,Bank Transfer
250,2612,11/21/2025,3522.42,Credit Card
251,8269,3/27/2025,3473.07,Credit Card
252,1753,6/16/2025,3982.76,PayPal
253,6873,7/11/2025,2159.13,Debit Card
254,9702,7/30/2025,2833.98,Debit Card
255,3785,3/31/2025,404.05,Bank Transfer
256,4945,9/12/2025,4565.02,Debit Card
257,4804,8/25/2025,3193.14,Bank Transfer
258,5183,12/8/2025,56.89,Bank Transfer
259,5712,12/13/2025,2737.52,Credit Card
260,8237,6/26/2025,4938.38,PayPal
261,7951,12/20/2025,1257.99,PayPal
262,4263,7/16/2025,4268.14,Credit Card
263,4886,7/15/2025,2863.89,Mobile Money
264,5847,12/25/2025,1483.2,Bank Transfer
265,5497,1/5/2025,2833.99,Credit Card
266,9138,5/27/2025,3880.95,Debit Card
267,6772,4/23/2025,3186.72,Mobile Money
268,5106,12/14/2025,3780.33,Debit Card
269,2591,11/18/2025,3235.24,PayPal
270,8222,1/18/2025,2902.07,Debit Card
271,2476,6/1/2025,1640.33,Bank Transfer
272,3877,4/13/2025,669.48,Mobile Money
273,6994,9/29/2025,2513.96,PayPal
274,3695,5/12/2025,4571.1,Bank Transfer
275,5835,6/23/2025,4023.12,Bank Transfer
276,2233,3/14/2025,3773.22,Debit Card
277,7511,10/13/2025,1835.22,Bank Transfer
278,1228,5/16/2025,2687.5,Bank Transfer
279,7038,12/11/2025,3747.57,PayPal
280,7242,11/23/2025,4702.06,Credit Card
281,4830,8/30/2025,134.87,Mobile Money
282,6374,11/9/2025,1114.62,Credit Card
283,8606,12/25/2025,1517.93,Bank Transfer
284,2911,3/13/2025,236.28,Credit Card
285,5986,9/10/2025,589.44,Debit Card
286,9807,3/11/2025,1949.34,PayPal
287,9850,8/3/2025,2940.83,Debit Card
288,7797,12/2/2025,504.12,Bank Transfer
289,7686,5/24/2025,173.25,PayPal
290,4559,8/16/2025,2229.03,Debit Card
291,6942,2/20/2025,4904.83,PayPal
292,9920,11/27/2025,1799.78,Bank Transfer
293,5520,4/8/2025,4841.35,Bank Transfer
294,2501,12/6/2025,1068.41,Mobile Money
295,1349,1/26/2025,3936.11,Debit Card
296,3063,10/17/2025,1033.98,Mobile Money
297,4394,10/28/2025,1087.6,Debit Card
298,6383,3/17/2025,3945.33,Mobile Money
299,1046,5/22/2025,4293.45,Debit Card
300,3129,10/4/2025,1260.76,Debit Card
301,2801,12/5/2025,4333.57,Debit Card
302,1243,7/3/2025,3952.02,Debit Card
303,6304,1/9/2025,879.49,Credit Card
304,3076,8/4/2025,2635.17,Credit Card
305,8802,8/18/2025,3892.31,Mobile Money
306,2786,8/20/2025,2524.16,Mobile Money
307,1710,12/4/2025,2612.04,Bank Transfer
308,1510,2/1/2025,4992.95,Bank Transfer
309,7984,12/18/2025,548.73,Bank Transfer
310,2204,2/11/2025,1617.34,Debit Card
311,2076,3/6/2025,1382.33,Mobile Money
312,9984,12/31/2025,1632.68,Mobile Money
313,9692,5/31/2025,2274.04,Mobile Money
314,8048,2/20/2025,3967.55,Credit Card
315,4522,8/9/2025,2263.26,Debit Card
316,7779,6/23/2025,4138.82,Bank Transfer
317,7815,2/18/2025,1569.62,PayPal
318,5176,7/11/2025,4768.43,Bank Transfer
319,2099,2/16/2025,4160.54,Credit Card
320,8075,2/19/2025,3725.5,PayPal
321,3131,10/12/2025,309.31,Mobile Money
322,6400,12/10/2025,619.93,PayPal
323,7929,1/27/2025,4842.31,Mobile Money
324,6119,6/30/2025,526.97,Mobile Money
325,4485,3/21/2025,3287.11,Debit Card
326,2773,6/29/2025,4228.41,PayPal
327,2882,5/23/2025,2874.76,Bank Transfer
328,1430,11/8/2025,4646.13,PayPal
329,1474,4/3/2025,1373.62,PayPal
330,6567,6/29/2025,40.47,Debit Card
331,7566,2/5/2025,717.95,Credit Card
332,2503,9/29/2025,1083.51,Bank Transfer
333,8432,6/24/2025,795.47,PayPal
334,6314,10/18/2025,2985.16,Credit Card
335,3549,3/22/2025,3774.64,Credit Card
336,2336,5/20/2025,2221.13,Bank Transfer
337,8957,11/7/2025,2215.8,PayPal
338,4531,9/20/2025,577.95,Bank Transfer
339,2816,5/26/2025,3394.31,Mobile Money
340,8972,9/27/2025,3338.99,Credit Card
341,4612,7/22/2025,4922.38,Credit Card
342,1125,4/15/2025,1514.08,Debit Card
343,3248,5/11/2025,1454.34,Credit Card
344,1126,9/12/2025,3737.6,Debit Card
345,3116,7/14/2025,2667.59,Debit Card
346,9196,10/14/2025,4168.44,PayPal
347,2180,7/23/2025,4310.2,Credit Card
348,8147,1/10/2025,2304.17,Credit Card
349,6129,10/22/2025,2152.13,Bank Transfer
350,7843,5/29/2025,584.72,Credit Card
351,6321,3/29/2025,4008.6,Mobile Money
352,8538,12/20/2025,4599.65,Credit Card
353,8155,2/24/2025,1224.15,Mobile Money
354,7560,9/26/2025,402.45,PayPal
355,6562,4/24/2025,1672.01,Debit Card
356,2251,9/19/2025,3169.79,Mobile Money
357,9355,4/10/2025,4530.55,PayPal
358,6752,11/27/2025,4077.03,Debit Card
359,2684,3/16/2025,1287.28,Debit Card
360,3504,12/2/2025,386.01,Bank Transfer
361,8601,10/16/2025,3801.79,Bank Transfer
362,6295,11/18/2025,1587.53,Bank Transfer
363,2118,8/29/2025,2216.62,PayPal
364,5500,10/30/2025,290.3,Mobile Money
365,2215,6/8/2025,2314.1,Credit Card
366,1932,7/8/2025,4160.17,Credit Card
367,2479,11/11/2025,2974.46,Bank Transfer
368,8581,10/25/2025,2776.04,Credit Card
369,8368,10/20/2025,3262.67,PayPal
370,8792,9/14/2025,762.8,Credit Card
371,8381,2/22/2025,4056.72,PayPal
372,2381,9/16/2025,3234.17,Credit Card
373,5059,12/29/2025,2194.41,Bank Transfer
374,9586,9/25/2025,3052.93,PayPal
375,7108,5/25/2025,1943.21,PayPal
376,1857,11/20/2025,3240.05,Credit Card
377,6401,2/18/2025,2794.24,Bank Transfer
378,5655,5/10/2025,3621.43,Mobile Money
379,3463,6/20/2025,416.69,Debit Card
380,6731,6/8/2025,4838.81,Bank Transfer
381,3112,11/1/2025,3547.08,Credit Card
382,6072,10/14/2025,1889.63,PayPal
383,3093,12/10/2025,3517.13,Mobile Money
384,2531,11/27/2025,3355.58,Mobile Money
385,6928,1/10/2025,1819.36,Debit Card
386,4509,6/24/2025,4738.86,Bank Transfer
387,4145,4/26/2025,4999.88,Debit Card
388,2264,6/1/2025,4223.7,Credit Card
389,9317,10/4/2025,4177.25,Mobile Money
390,1618,12/5/2025,1690.45,Mobile Money
391,3147,11/2/2025,1889.83,Debit Card
392,3962,12/21/2025,3857.78,Debit Card
393,8170,1/23/2025,2060.18,Debit Card
394,8277,11/9/2025,1431.79,Bank Transfer
395,4833,10/1/2025,1203.45,Bank Transfer
396,4178,7/8/2025,3394.75,Mobile Money
397,8218,8/25/2025,3849.5,Bank Transfer
398,9239,9/28/2025,2099.12,Debit Card
399,4271,11/6/2025,700.61,PayPal
400,1854,11/25/2025,2408.15,PayPal
